date,username,ticker,series,action,side,shares,price,fee,pnl,executed_at,fill_cap_applied
2026-09-19,favorite-cash,KXHOUSERACE-NDAL-26-R,KXHOUSERACE,enter,YES,3.16,0.972,0.0061,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NJ11-26-D,KXHOUSERACE,enter,YES,6.29,0.979,0.0091,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NJ12-26-D,KXHOUSERACE,enter,YES,1.28,0.961,0.0034,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NV02-26-R,KXHOUSERACE,enter,YES,0.04,0.77,0.0005,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NY02-26-R,KXHOUSERACE,enter,YES,23.51,0.88,0.1738,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NY21-26-R,KXHOUSERACE,enter,YES,10.7,0.8,0.1199,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-OH07-26-D,KXHOUSERACE,enter,YES,0.26,0.78,0.0032,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-OH10-26-R,KXHOUSERACE,enter,YES,2.39,0.86,0.0202,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-OK05-26-R,KXHOUSERACE,enter,YES,21.12,0.918,0.1113,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-OR02-26-R,KXHOUSERACE,enter,YES,0.42,0.959,0.0012,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-OR04-26-D,KXHOUSERACE,enter,YES,0.42,0.959,0.0012,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-PA06-26-D,KXHOUSERACE,enter,YES,11.11,0.997,0.0024,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-RI02-26-D,KXHOUSERACE,enter,YES,3.26,0.992,0.0019,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-TN09-26-R,KXHOUSERACE,enter,YES,0.81,0.901,0.0051,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-TX10-26-R,KXHOUSERACE,enter,YES,23.43,0.903,0.1437,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-TX23-26-R,KXHOUSERACE,enter,YES,106.71,0.68,1.6255,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-TX36-26-R,KXHOUSERACE,enter,YES,2.05,0.966,0.0048,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-VA05-26-R,KXHOUSERACE,enter,YES,47.03,0.86,0.3964,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-WA05-26-R,KXHOUSERACE,enter,YES,0.21,0.85,0.0019,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-WI08-26-R,KXHOUSERACE,enter,YES,6.41,0.919,0.0335,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSEVA10-26-D,KXHOUSEVA10,enter,YES,8.85,0.979,0.0128,,yes_ask,yes
2026-09-19,favorite-cash,KXIDGROUNDWATER-26AUG17-A500,KXIDGROUNDWATER,enter,YES,71.37,0.9,0.4497,,yes_ask,yes
2026-09-19,favorite-cash,KXIDGROUNDWATER-26AUG17-A600,KXIDGROUNDWATER,enter,YES,6.58,0.84,0.062,,yes_ask,yes
2026-09-19,favorite-cash,KXIDGROUNDWATER-26AUG17-A700,KXIDGROUNDWATER,enter,YES,15.57,0.8,0.1744,,yes_ask,yes
2026-09-19,favorite-cash,KXKSSENGOVCOMBO-26NOV-REPREP,KXKSSENGOVCOMBO,enter,YES,17,0.73,0.2346,,yes_ask,yes
2026-09-19,favorite-cash,KXLTGOVTX-26-GOP,KXLTGOVTX,enter,YES,5.14,0.78,0.0618,,yes_ask,yes
2026-09-19,favorite-cash,KXMESENATEPERSON-26-TJAC,KXMESENATEPERSON,enter,YES,12.59,0.67,0.1949,,yes_ask,yes
2026-09-19,favorite-cash,KXMESENOUTCOME-27JAN-GPD,KXMESENOUTCOME,enter,YES,0.04,0.68,0.0007,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMHAPPEN-2026-T50,KXMIDTERMHAPPEN,enter,YES,41.84,0.86,0.3527,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-AZGOVD-P5,KXMIDTERMMOV,enter,YES,1.14,0.9,0.0072,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-FL10D-P21,KXMIDTERMMOV,enter,YES,1.28,0.988,0.0011,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-FL10D-P27,KXMIDTERMMOV,enter,YES,0.21,0.957,0.0007,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-ILGOVD-P6,KXMIDTERMMOV,enter,YES,8.55,0.99,0.006,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MAGOVD-P20,KXMIDTERMMOV,enter,YES,1.74,0.88,0.0129,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MNGOVD-P5,KXMIDTERMMOV,enter,YES,0.17,0.85,0.0016,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MNGOVD-P8,KXMIDTERMMOV,enter,YES,2.48,0.84,0.0234,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MNSEND-P3,KXMIDTERMMOV,enter,YES,33.06,0.92,0.1704,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MNSEND-P5,KXMIDTERMMOV,enter,YES,14.89,0.8,0.1668,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-MSSENR-P3,KXMIDTERMMOV,enter,YES,2.13,0.912,0.012,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NCSEND-P3,KXMIDTERMMOV,enter,YES,0.04,0.87,0.0004,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NCSEND-P5,KXMIDTERMMOV,enter,YES,0.85,0.74,0.0115,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NESENR-P3,KXMIDTERMMOV,enter,YES,1.75,0.989,0.0014,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NHSEND-P2,KXMIDTERMMOV,enter,YES,0.21,0.77,0.0027,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NHSEND-P4,KXMIDTERMMOV,enter,YES,10.73,0.75,0.1409,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NJ07D-P2,KXMIDTERMMOV,enter,YES,17.1,0.78,0.2055,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-NYGOVD-P13,KXMIDTERMMOV,enter,YES,8.55,0.82,0.0884,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMMOV-VA10D-P10,KXMIDTERMMOV,enter,YES,2.65,0.81,0.0286,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMVOTETURN-CAGOV-12000000,KXMIDTERMVOTETURN,enter,YES,5.82,0.78,0.07,,yes_ask,yes
2026-09-19,favorite-cash,KXMIDTERMVOTETURN-IASEN-1280000,KXMIDTERMVOTETURN,enter,YES,2.95,0.89,0.0203,,yes_ask,yes
2026-09-19,favorite-cash,KXMNSENGOVCOMBO-26NOV-DEMDEM,KXMNSENGOVCOMBO,enter,YES,0.21,0.91,0.0013,,yes_ask,yes
2026-09-19,favorite-cash,KXMNSTATEAUDITOR-26NOV03-ZFIL,KXMNSTATEAUDITOR,enter,YES,13.04,0.71,0.188,,yes_ask,yes
2026-09-19,favorite-cash,KXNETANYAHUNYC-26JUL27-OCT01,KXNETANYAHUNYC,enter,YES,164.54,0.98,0.2258,,yes_ask,yes
2026-09-19,favorite-cash,KXNYCSAVINGS-27MAY01-A600000000,KXNYCSAVINGS,enter,YES,0.12,0.98,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXNYCSUBWAY-26OCT31-A4100000,KXNYCSUBWAY,enter,YES,0.22,0.94,0.0009,,yes_ask,yes
2026-09-19,favorite-cash,KXNYCSUBWAY-26OCT31-A4200000,KXNYCSUBWAY,enter,YES,311.24,0.91,1.7844,,yes_ask,yes
2026-09-19,favorite-cash,KXOAKLANDMAYOR-26-BLEE,KXOAKLANDMAYOR,enter,YES,1.83,0.94,0.0073,,yes_ask,yes
2026-09-19,favorite-cash,KXOBAMAENDORSE-26NOV03-MPEL,KXOBAMAENDORSE,enter,YES,0.34,0.94,0.0014,,yes_ask,yes
2026-09-19,favorite-cash,KXPRESSSECANNOUNCE-26AUG-JAN01,KXPRESSSECANNOUNCE,enter,YES,0.04,0.9,0.0003,,yes_ask,yes
2026-09-19,favorite-cash,KXPROVIDENCEMAYOR-26-DMOR,KXPROVIDENCEMAYOR,enter,YES,4.27,0.99,0.003,,yes_ask,yes
2026-09-19,favorite-cash,KXREDISTRICTING-26-CA,KXREDISTRICTING,enter,YES,0.03,0.984,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,KXRENTFREEZEEFFECT-26,KXRENTFREEZEEFFECT,enter,YES,6.02,0.91,0.0346,,yes_ask,yes
2026-09-19,favorite-cash,KXSECSTATEMI-26-D,KXSECSTATEMI,enter,YES,2.74,0.9,0.0173,,yes_ask,yes
2026-09-19,favorite-cash,KXSTATEBALLOTMEASURE-AR-SJR11,KXSTATEBALLOTMEASURE,enter,YES,0.08,0.98,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXSTPETERSBURGMAYOR-26-CCRI,KXSTPETERSBURGMAYOR,enter,YES,2.99,0.88,0.0222,,yes_ask,yes
2026-09-19,favorite-cash,KXTRUMPDEMDISTRICTS-26NOV03-AL16,KXTRUMPDEMDISTRICTS,enter,YES,8.55,0.98,0.0118,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTECOUNTY-GOVPARTYNY26NEWYORKKHOC-78,KXVOTECOUNTY,enter,YES,12.82,0.87,0.1015,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTECOUNTY-SENATENC26WAKERCOO-62,KXVOTECOUNTY,enter,YES,58.47,0.95,0.1945,,yes_ask,yes
2026-09-19,favorite-cash,KXVOTEGENERAL-HOUSEAZ6-26JMEN-50,KXVOTEGENERAL,enter,YES,0.11,0.74,0.0015,,yes_ask,yes
